RW_Turbidity,pH,Conductivity,PAC
7.2,8.3,24.1,6
20,8.2,34,8
7.3,8.3,24.1,6
7.7,7.9,23.5,6
76.3,8.4,24.1,8
78.2,8,19.1,8
23.7,8.3,24.5,8
77.2,8.1,32.3,10
9.7,8.3,25.1,7
9.8,7.9,23.6,7
9.1,8.3,24.1,6
9.9,7.9,27.8,8
39.3,8.3,20.9,6
8.4,7.8,24.1,6
41,8.2,22,4
12.2,8.2,25.2,8
6.8,8.4,24.3,6
6.32,8.4,29.1,6
9.1,8.3,24.2,6
7.2,8.4,24.1,6
8.8,8.2,32.3,6
6.2,8.2,24.6,6
6.1,8.4,24.1,6
22,8.4,24,7
7.3,8.2,23.1,8
57,8.57,24,7
,,,
8.1,8.3,24.1,8
46,8.4,24.6,9
10.1,7.7,23.7,6
5.8,7.4,28.2,6
11.1,8.2,24.1,6
20.7,7.9,25.2,6
4.1,8.3,24.1,6
7.4,8.4,22.1,8
12,8.01,24.9,6
8.71,8.4,22.4,6
4.3,8.1,25.1,6
3.2,8.1,30.1,5
2.3,8.2,27,5
3.5,8.1,31.2,5
2.21,8.2,32.1,5
2.2,8,27.1,5
2.4,7.8,27.6,5
3.27,8.23,24.1,5
4.1,8.3,27.1,5
2.8,7.7,28.2,5
3.3,8,34.6,5
5.1,8.6,35.4,5
2.4,8.6,24.1,5
,,,
3.1,7.5,35.1,4
2.4,8.3,28.2,4
3.5,7.7,33.2,4
5.7,7.6,37.2,4
1.7,8.3,28.2,4
3.03,7.98,28.7,4
1.8,8.4,31.2,4
2.2,8.2,32.4,4
7.86,7.93,37.8,4
8.3,8.2,34.2,4
2.4,8.4,16.1,4
1.78,7.8,32.1,4
2.4,7.6,38.2,4
,,,
8.31,7.21,80.1,5
12.4,7.2,75.6,6
251,,,12
262,7.14,62.8,12
16.1,7.12,79.1,6
12.8,7.2,84.6,6
23.1,7.25,84.4,7
40.1,7.09,71.2,7
27.1,7.36,72.3,7
12.61,7.31,78.9,6
8.38,7.3,80.4,6
6.45,7.21,79.4,6
7.8,7.1,80.2,6
5.2,7.3,82.9,6
4.8,6.9,82.7,6
4.5,7.32,82.1,6
,,,
6.2,7,79.1,6
6.31,7.15,79.1,6
6.1,7.1,90.7,6
5.12,7,92.2,6
4.51,7.07,86.2,5
4.8,7,90.1,5
3.45,7.07,112,5
3.31,7.11,82,5
3.26,7.07,89.2,5
3.1,6.9,76.3,5
3.65,6.89,85.1,5
2.5,7.2,75.6,5
2.4,7,93.4,5
3.34,7,84.3,5
3.61,7.07,82.5,4
,,,
3.34,6.88,83.2,5
3.08,6.9,86.3,5
3.2,6.9,94.7,5
2.35,7.23,74.5,4
16.5,6.86,90,6
4.56,6.87,92.7,5
2.9,6.9,91.3,5
8.24,7.06,83.5,5
4.48,6.65,87.3,5
3.31,6.69,87.1,4
2.22,6.95,83.8,5
2.34,6.85,91.5,4
26.5,6.67,98.4,6
36.2,7.1,98.2,10
12.35,6.89,91.2,5
10,6.87,85.9,5
64.3,6.7,92.2,10
97,6.89,89,9
120,6.78,86,10
,,,
10.2,6.92,72.3,5
6.6,6.8,93,5
3.9,6.85,90.9,4
4.32,6.8,86.2,4
30.1,6.74,93.2,7
4.24,6.8,86.2,5
7.32,6.99,99.3,6
39.4,7,98.2,10
10.3,6.97,103,6
164,,,7
45,6.86,107.1,6
435,,,14
610,,,16
149,6.7,48.1,12
117,6.71,63.2,10
32,6.6,70.9,6
13.6,6.78,83,6
6.4,6.9,94,6
4.77,7.07,87,4
5.1,7.3,96,5
19.1,7.07,89,6
207,7.21,85,10
,,,
23.4,7.61,84.2,6
26.3,7,103.6,8
170,7.3,93.2,8
772,7.4,104.3,14
281,7.7,49.3,12
198,7.3,68.2,10
21.3,7.45,78.3,7
16.7,7.3,67.1,5
182,7,,12
82.4,7,77,10
70.3,7.3,78.3,12
92.3,7.1,66.6,10
586,7.2,92,14
178,7.42,62.3,12
23.2,7.26,72.4,6
12.5,7.46,72.4,6
132,7.3,41.9,10
27.7,7.3,51.3,6
,,,
200,7.32,72.3,10
26.8,7.4,30.6,6
11.35,7.32,67.3,6
69.5,7.4,274,8
7.3,7.21,68.3,6
12.3,7.23,43.2,6
5.2,7.2,32.7,5
6.8,6.9,35.4,5
6.88,6.84,35.9,4
6.7,6.58,38.3,5
4.4,6.8,39.1,4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
